STV Test OAs 5/2018

SubmissionId,"Please rank the up to 4 ""candidate"" items below in order of your preference. - 1","Please rank the up to 4 ""candidate"" items below in order of your preference. - 2","Please rank the up to 4 ""candidate"" items below in order of your preference. - 3","Please rank the up to 4 ""candidate"" items below in order of your preference. - 4"
"3073131","Adam","Beth","Claude","DJ"
"3073130","DJ","Claude","Adam","Beth"
"3073129","DJ","Claude","Beth","Adam"
"3073128","DJ","Claude","Beth","Adam"
"3073127","DJ","Claude","Beth","Adam"
"3073126","DJ","Claude","Beth","Adam"
"3073125","Claude","Adam","Beth","DJ"
"3073124","Adam","Beth","Claude","DJ"
"3073123","Claude","Adam","Beth","DJ"
"3073122","DJ","Claude","Beth","Adam"
"3073121","Claude","Adam","Beth","DJ"
"3073120","DJ","Claude","Beth","Adam"
"3073119","Claude","Adam","Beth","DJ"
"3073118","Adam","Beth","Claude","DJ"
"3073117","Adam","Beth","Claude","DJ"
"3073116","DJ","Claude","Beth","Adam"
"3073115","Claude","Adam","Beth","DJ"
"3073114","Adam","Beth","Claude","DJ"
"3073113","Claude","Adam","Beth","DJ"
"3073112","DJ","Claude","Beth","Adam"
"3073111","DJ","Claude","Beth","Adam"
"3073110","Claude","Adam","Beth","DJ"
"3073109","Adam","Beth","Claude","DJ"
"3073108","Adam","Beth","Claude","DJ"
"3073107","Claude","Adam","Beth","DJ"
"3073106","Claude","Adam","Beth","DJ"
"3073105","Claude","Adam","Beth","DJ"
"3073104","Claude","Adam","Beth","DJ"
"3073103","Claude","Adam","Beth","DJ"
"3073102","DJ","Claude","Beth","Adam"
"3073101","DJ","Claude","Beth","Adam"
"3073100","Adam","Beth","Claude","DJ"
"3073099","DJ","Claude","Beth","Adam"
"3073098","Adam","Beth","Claude","DJ"
"3073097","Claude","Adam","Beth","DJ"
"3073096","Claude","Adam","Beth","DJ"
"3073095","Adam","Beth","Claude","DJ"
"3073094","DJ","Claude","Beth","Adam"
"3073093","Adam","Beth","Claude","DJ"
"3073092","DJ","Claude","Beth","Adam"
"3073091","Claude","Adam","Beth","DJ"
"3073090","Claude","Adam","Beth","DJ"
"3073089","Claude","Adam","Beth","DJ"
"3073088","Claude","Adam","Beth","DJ"
"3073087","Claude","Adam","Beth","DJ"
"3073086","Claude","Adam","Beth","DJ"
"3073085","Claude","Adam","Beth","DJ"
"3073084","Claude","Adam","Beth","DJ"
"3073083","Claude","Adam","Beth","DJ"
"3073082","Claude","Adam","Beth","DJ"
"3073081","Claude","Adam","Beth","DJ"
"3073080","Adam","Beth","Claude","DJ"
"3073079","Claude","Adam","Beth","DJ"
"3073078","Claude","Adam","Beth","DJ"
"3073077","Claude","Adam","Beth","DJ"
"3073076","Adam","Beth","Claude","DJ"
"3073075","Adam","Beth","Claude","DJ"
"3073074","Adam","Beth","Claude","DJ"
"3073073","Claude","Adam","Beth","DJ"
"3073072","Claude","Adam","Beth","DJ"
"3073071","Adam","Beth","Claude","DJ"
"3073070","Adam","Beth","Claude","DJ"
"3073069","Claude","Adam","Beth","DJ"
"3073068","Adam","Beth","Claude","DJ"
"3073067","Claude","Adam","Beth","DJ"
"3073066","Adam","Beth","Claude","DJ"
"3073065","Adam","Beth","Claude","DJ"
"3073064","Adam","Beth","Claude","DJ"
"3073063","Adam","Beth","Claude","DJ"
"3073062","Adam","Beth","Claude","DJ"
"3073061","Adam","Beth","Claude","DJ"
"3073060","Adam","Beth","Claude","DJ"
"3073059","Adam","Beth","Claude","DJ"
